lon,lat,ele,iscurve,start_line,speed_kph,curvature
686125.8881350011,4929387.362775829,75.0,line,1,30.0,7.878653592799916e-08
686121.2883470654,4929388.443646999,74.81232120561893,line,1,30.0,0.0003009248441321618
686116.6885608315,4929389.524521383,74.62464241123786,line,1,30.0,0.009626181174993965
686112.0917802447,4929390.632288438,74.43696361685679,line,1,30.0,0.07484105753185594
686107.7756000652,4929392.502345935,74.2492848224757,curve,5,30.0,0.11809680743538545
686106.129308178,4929398.70861185,74.06160602809464,curve,5,30.0,0.04754435571640151
686106.5470071716,4929405.109794459,74.09312208976979,line,7,30.0,0.017370546554662632
686107.374699888,4929411.475641429,74.23174871035599,line,7,30.0,0.0025996195703358363
686108.2023904481,4929417.841488613,74.37037533094218,line,7,30.0,0.00022095388655202637
686109.0469943393,4929424.202555055,74.50900195152839,line,7,30.0,0.00010982005061111438
686109.8931783701,4929430.563174486,74.64762857211458,line,7,30.0,0.0008220437574297357
686110.7016547908,4929436.9340765765,74.78625519270078,line,7,30.0,0.025561521297659234
686111.4520964549,4929443.3215378355,74.92488181328697,curve,13,30.0,0.12083999736047826
686107.713594612,4929446.486926512,75.03517562397452,line,14,30.0,0.11604817847956735
686103.0860946681,4929447.256443838,75.11195720369882,line,14,30.0,0.028506400793736036
686098.4585960023,4929448.025964425,75.18873878342312,line,14,30.0,0.00024623466869796865
686093.8310986148,4929448.795488278,75.26552036314742,line,14,30.0,0.0006256440842457216
686089.2020894231,4929449.543280995,75.34230194287173,line,14,30.0,0.0005122882949808987
686084.5722671201,4929450.27937938,75.41908352259603,line,14,30.0,0.0001327141490658517
686079.9424460494,4929451.015481031,75.49586510232032,line,14,30.0,1.5566916486664399e-07
686075.3126262106,4929451.751585951,75.57264668204462,line,14,30.0,0.00012281686834682179
686070.6828076039,4929452.487694139,75.64942826176893,line,14,30.0,0.000295374656060369
686066.053731092,4929453.234606181,75.72620984149323,line,14,30.0,0.00022262551586149008
686061.4249577547,4929453.985923058,75.80299142121753,line,14,30.0,5.009973254082146e-05
686056.79618567,4929454.7372432,75.87977300094182,line,14,30.0,0.030441777401577105
686052.1674148389,4929455.488566607,75.95655458066612,line,14,30.0,0.19673393592788124
686050.3113421985,4929458.5025313385,76.0,line,14,30.0,0.1251846445405019
686052.0687902479,4929464.46528512,76.0,line,14,30.0,0.015799039815135238
686053.8262346286,4929470.428039524,76.0,line,14,30.0,0.004341298626452019
686055.4120398771,4929476.4817202,76.0,line,14,30.0,0.0059002909333437945
686056.7282828849,4929482.6705357805,76.0,line,14,30.0,0.0033612544927477117
686057.8960282492,4929488.922718986,75.9491377901106,line,14,30.0,0.0001623538866219915
686059.1259944427,4929495.150085693,75.3012111307865,line,14,30.0,0.000408518373141731
686060.3559577762,4929501.377452757,74.65328447146238,line,14,30.0,7.135756319576222e-08
686061.5859182496,4929507.604820179,74.00535781213827,line,14,30.0,7.135921419186746e-08
686062.8158758633,4929513.832187962,73.35743115281414,line,14,30.0,7.135757682094426e-08
686064.045830617,4929520.059556101,72.70950449349004,line,14,30.0,7.136053160684046e-08
686065.2757825105,4929526.2869246,72.06157783416593,line,14,30.0,2.8844455306011996e-05
686066.5057315443,4929532.514293459,71.4136511748418,line,14,30.0,0.00026331910400190266
686067.7313088984,4929538.743476133,70.7657245155177,curve,40,30.0,0.023345991679548844
686069.0055993162,4929544.952311681,70.11779785619359,line,41,30.0,0.1892925094436556
686065.4515693011,4929546.709666584,70.03505929610084,line,41,30.0,0.11185334449357055
686060.8240686804,4929547.478125241,70.07790898181256,line,41,30.0,0.01308134238519516
686056.1965693366,4929548.246587159,70.12075866752427,line,41,30.0,1.5582702859119224e-07
686051.5690712691,4929549.015052345,70.16360835323599,line,41,30.0,0.00011065117112115642
686046.9415744785,4929549.78352079,70.2064580389477,line,41,30.0,0.000241225783860771
686042.3147806899,4929550.561734642,70.2493077246594,line,41,30.0,0.00015085350721868687
686037.6881161546,4929551.341728267,70.29215741037112,line,41,30.0,2.02911192782135e-05
686033.0614529122,4929552.121725155,70.33500709608283,line,41,30.0,1.5584097253350077e-07
